Year,Sport,Discipline,Medal,Country,Author,AuthorId
1952,SWI,mens-100-metres-freestyle,Gold,USA,Clarke Scholes,clarke-scholes-1
1952,SWI,mens-100-metres-freestyle,Silver,JPN,Hiroshi Suzuki,hiroshi-suzuki-1
1952,SWI,mens-100-metres-freestyle,Bronze,SWE,GÃ¶ran Larsson,goran-larsson-1
1948,SWI,mens-100-metres-freestyle,Gold,USA,Wally Ris,wally-ris-1
1948,SWI,mens-100-metres-freestyle,Silver,USA,Alan Ford,alan-ford-1
1948,SWI,mens-100-metres-freestyle,Bronze,HUN,GÃ©za KÃ¡das,geza-kadas-1
1936,SWI,mens-100-metres-freestyle,Gold,HUN,Ferenc CsÃ­k,ferenc-csik-1
1936,SWI,mens-100-metres-freestyle,Silver,JPN,Masanori Yusa,masanori-yusa-1
1936,SWI,mens-100-metres-freestyle,Bronze,JPN,Shigeo Arai,shigeo-arai-1
1932,SWI,mens-100-metres-freestyle,Gold,JPN,Yasuji Miyazaki,yasuji-miyazaki-1
1932,SWI,mens-100-metres-freestyle,Silver,JPN,Tatsugo Kawaishi,tatsugo-kawaishi-1
1932,SWI,mens-100-metres-freestyle,Bronze,USA,Albert Schwartz,albert-schwartz-1
1928,SWI,mens-100-metres-freestyle,Gold,USA,Johnny Weissmuller,johnny-weissmuller-1
1928,SWI,mens-100-metres-freestyle,Silver,HUN,IstvÃ¡n BÃ¡rÃ¡ny,istvan-barany-1
1928,SWI,mens-100-metres-freestyle,Bronze,JPN,Katsuo Takaishi,katsuo-takaishi-1
1924,SWI,mens-100-metres-freestyle,Gold,USA,Johnny Weissmuller,johnny-weissmuller-1
1924,SWI,mens-100-metres-freestyle,Silver,USA,Duke Kahanamoku,duke-kahanamoku-1
1924,SWI,mens-100-metres-freestyle,Bronze,USA,Sam Kahanamoku,sam-kahanamoku-1
1920,SWI,mens-100-metres-freestyle,Gold,USA,Duke Kahanamoku,duke-kahanamoku-1
1920,SWI,mens-100-metres-freestyle,Silver,USA,Pua Kele Kealoha,pua-kele-kealoha-1
1920,SWI,mens-100-metres-freestyle,Bronze,USA,Bill Harris,bill-harris-1
1912,SWI,mens-100-metres-freestyle,Gold,USA,Duke Kahanamoku,duke-kahanamoku-1
1912,SWI,mens-100-metres-freestyle,Silver,ANZ,Cecil Healy,cecil-healy-1
1912,SWI,mens-100-metres-freestyle,Bronze,USA,Ken Huszagh,ken-huszagh-1
1908,SWI,mens-100-metres-freestyle,Gold,USA,Charlie Daniels,charlie-daniels-1
1908,SWI,mens-100-metres-freestyle,Silver,HUN,ZoltÃ¡n von Halmay,zoltan-von-halmay-1
1908,SWI,mens-100-metres-freestyle,Bronze,SWE,Harald Julin,harald-julin-1
1906,SWI,mens-100-metres-freestyle,Gold,USA,Charlie Daniels,charlie-daniels-1
1906,SWI,mens-100-metres-freestyle,Silver,HUN,ZoltÃ¡n von Halmay,zoltan-von-halmay-1
1906,SWI,mens-100-metres-freestyle,Bronze,AUS,Cecil Healy,cecil-healy-1
1896,SWI,mens-100-metres-freestyle,Gold,HUN,AlfrÃ©d HajÃ³s,alfred-hajos-1
1896,SWI,mens-100-metres-freestyle,Silver,AUT,Otto Herschmann,otto-herschmann-1
1904,SWI,mens-100-yard-backstroke,Gold,GER,Walter Brack,walter-brack-1
1904,SWI,mens-100-yard-backstroke,Silver,GER,Georg Hoffmann,georg-hoffmann-1
1904,SWI,mens-100-yard-backstroke,Bronze,GER,Georg Zacharias,georg-zacharias-1
1904,SWI,mens-100-yard-freestyle,Gold,HUN,ZoltÃ¡n von Halmay,zoltan-von-halmay-1
1904,SWI,mens-100-yard-freestyle,Silver,USA,Charlie Daniels,charlie-daniels-1
1904,SWI,mens-100-yard-freestyle,Bronze,USA,Scott Leary,scott-leary-1
1900,SWI,mens-1000-metres-freestyle,Gold,GBR,John Jarvis,john-jarvis-1
1900,SWI,mens-1000-metres-freestyle,Silver,AUT,Otto Wahle,otto-wahle-1
1900,SWI,mens-1000-metres-freestyle,Bronze,HUN,ZoltÃ¡n von Halmay,zoltan-von-halmay-1
1896,SWI,mens-1200-metres-freestyle,Gold,HUN,AlfrÃ©d HajÃ³s,alfred-hajos-1
1896,SWI,mens-1200-metres-freestyle,Silver,GRE,Ioannis Andreou,ioannis-andreou-1
2012,SWI,mens-1500-metres-freestyle,Gold,CHN,Sun Yang,sun-yang-1
2012,SWI,mens-1500-metres-freestyle,Silver,CAN,Ryan Cochrane,ryan-cochrane-1
2012,SWI,mens-1500-metres-freestyle,Bronze,TUN,Oussama Mellouli,oussama-mellouli-1
2008,SWI,mens-1500-metres-freestyle,Gold,TUN,Oussama Mellouli,oussama-mellouli-1
2008,SWI,mens-1500-metres-freestyle,Silver,AUS,Grant Hackett,grant-hackett-1
2008,SWI,mens-1500-metres-freestyle,Bronze,CAN,Ryan Cochrane,ryan-cochrane-1
2004,SWI,mens-1500-metres-freestyle,Gold,AUS,Grant Hackett,grant-hackett-1
2004,SWI,mens-1500-metres-freestyle,Silver,USA,Larsen Jensen,larsen-jensen-1
2004,SWI,mens-1500-metres-freestyle,Bronze,GBR,Dave Davies,dave-davies-1
2000,SWI,mens-1500-metres-freestyle,Gold,AUS,Grant Hackett,grant-hackett-1
2000,SWI,mens-1500-metres-freestyle,Silver,AUS,Kieren Perkins,kieren-perkins-1
2000,SWI,mens-1500-metres-freestyle,Bronze,USA,Chris Thompson,chris-thompson-1
1996,SWI,mens-1500-metres-freestyle,Gold,AUS,Kieren Perkins,kieren-perkins-1
1996,SWI,mens-1500-metres-freestyle,Silver,AUS,Daniel Kowalski,daniel-kowalski-1
1996,SWI,mens-1500-metres-freestyle,Bronze,GBR,Graeme Smith,graeme-smith-1
1992,SWI,mens-1500-metres-freestyle,Gold,AUS,Kieren Perkins,kieren-perkins-1
1992,SWI,mens-1500-metres-freestyle,Silver,AUS,Glen Housman,glen-housman-1
1992,SWI,mens-1500-metres-freestyle,Bronze,GER,JÃ¶rg Hoffmann,jorg-hoffmann-1
1988,SWI,mens-1500-metres-freestyle,Gold,URS,Vladimir Salnikov,vladimir-salnikov-1
1988,SWI,mens-1500-metres-freestyle,Silver,FRG,Stefan Pfeiffer,stefan-pfeiffer-1
1988,SWI,mens-1500-metres-freestyle,Bronze,GDR,Uwe DaÃler,uwe-dassler-1
1984,SWI,mens-1500-metres-freestyle,Gold,USA,Mike O'Brien,mike-obrien-1
1984,SWI,mens-1500-metres-freestyle,Silver,USA,George DiCarlo,george-dicarlo-1
1984,SWI,mens-1500-metres-freestyle,Bronze,FRG,Stefan Pfeiffer,stefan-pfeiffer-1
1980,SWI,mens-1500-metres-freestyle,Gold,URS,Vladimir Salnikov,vladimir-salnikov-1
1980,SWI,mens-1500-metres-freestyle,Silver,URS,Aleksandr Chayev,aleksandr-chayev-1
1980,SWI,mens-1500-metres-freestyle,Bronze,AUS,Max Metzker,max-metzker-1
1976,SWI,mens-1500-metres-freestyle,Gold,USA,Brian Goodell,brian-goodell-1
1976,SWI,mens-1500-metres-freestyle,Silver,USA,Bobby Hackett,bobby-hackett-1
1976,SWI,mens-1500-metres-freestyle,Bronze,AUS,Steve Holland,steve-holland-1
1972,SWI,mens-1500-metres-freestyle,Gold,USA,Mike Burton,mike-burton-1
1972,SWI,mens-1500-metres-freestyle,Silver,AUS,Graham Windeatt,graham-windeatt-1
1972,SWI,mens-1500-metres-freestyle,Bronze,USA,Doug Northway,doug-northway-1
1968,SWI,mens-1500-metres-freestyle,Gold,USA,Mike Burton,mike-burton-1
1968,SWI,mens-1500-metres-freestyle,Silver,USA,John Kinsella,john-kinsella-1
1968,SWI,mens-1500-metres-freestyle,Bronze,AUS,Greg Brough,greg-brough-1
1964,SWI,mens-1500-metres-freestyle,Gold,AUS,Bob Windle,bob-windle-1
1964,SWI,mens-1500-metres-freestyle,Silver,USA,John Nelson,john-nelson-1
1964,SWI,mens-1500-metres-freestyle,Bronze,AUS,Allan Wood,allan-wood-1
1960,SWI,mens-1500-metres-freestyle,Gold,AUS,John Konrads,john-konrads-1
1960,SWI,mens-1500-metres-freestyle,Silver,AUS,Murray Rose,murray-rose-1
1960,SWI,mens-1500-metres-freestyle,Bronze,USA,George Breen,george-breen-1
1956,SWI,mens-1500-metres-freestyle,Gold,AUS,Murray Rose,murray-rose-1
1956,SWI,mens-1500-metres-freestyle,Silver,JPN,Tsuyoshi Yamanaka,tsuyoshi-yamanaka-1
1956,SWI,mens-1500-metres-freestyle,Bronze,USA,George Breen,george-breen-1
1952,SWI,mens-1500-metres-freestyle,Gold,USA,Ford Konno,ford-konno-1
1952,SWI,mens-1500-metres-freestyle,Silver,JPN,Shiro Hashizume,shiro-hashizume-1
1952,SWI,mens-1500-metres-freestyle,Bronze,BRA,Tetsuo Okamoto,tetsuo-okamoto-1
1948,SWI,mens-1500-metres-freestyle,Gold,USA,Jimmy McLane,jimmy-mclane-1
1948,SWI,mens-1500-metres-freestyle,Silver,AUS,John Marshall,john-marshall-1
1948,SWI,mens-1500-metres-freestyle,Bronze,HUN,GyÃ¶rgy MitrÃ³,gyorgy-mitro-1
1936,SWI,mens-1500-metres-freestyle,Gold,JPN,Noboru Terada,noboru-terada-1
1936,SWI,mens-1500-metres-freestyle,Silver,USA,Jack Medica,jack-medica-1
1936,SWI,mens-1500-metres-freestyle,Bronze,JPN,Shunpei Uto,shunpei-uto-1
1932,SWI,mens-1500-metres-freestyle,Gold,JPN,Kuzuo Kitamura,kuzuo-kitamura-1
1932,SWI,mens-1500-metres-freestyle,Silver,JPN,Shozo Makino,shozo-makino-1
1932,SWI,mens-1500-metres-freestyle,Bronze,USA,Jim Cristy,jim-cristy-1
1928,SWI,mens-1500-metres-freestyle,Gold,SWE,Arne Borg,arne-borg-1
1928,SWI,mens-1500-metres-freestyle,Silver,AUS,Boy Charlton,boy-charlton-1
1928,SWI,mens-1500-metres-freestyle,Bronze,USA,Buster Crabbe,buster-crabbe-1
1924,SWI,mens-1500-metres-freestyle,Gold,AUS,Boy Charlton,boy-charlton-1
1924,SWI,mens-1500-metres-freestyle,Silver,SWE,Arne Borg,arne-borg-1
1924,SWI,mens-1500-metres-freestyle,Bronze,AUS,Frank Beaurepaire,frank-beaurepaire-1
1920,SWI,mens-1500-metres-freestyle,Gold,USA,Norman Ross,norman-ross-1
1920,SWI,mens-1500-metres-freestyle,Silver,CAN,George Vernot,george-vernot-1
1920,SWI,mens-1500-metres-freestyle,Bronze,AUS,Frank Beaurepaire,frank-beaurepaire-1
1912,SWI,mens-1500-metres-freestyle,Gold,CAN,George Hodgson,george-hodgson-1
1912,SWI,mens-1500-metres-freestyle,Silver,GBR,Jack Hatfield,jack-hatfield-1
1912,SWI,mens-1500-metres-freestyle,Bronze,ANZ,Harold Hardwick,harold-hardwick-1
1908,SWI,mens-1500-metres-freestyle,Gold,GBR,Henry Taylor,henry-taylor-1
1908,SWI,mens-1500-metres-freestyle,Silver,GBR,Sydney Battersby,sydney-battersby-1
1908,SWI,mens-1500-metres-freestyle,Bronze,ANZ,Frank Beaurepaire,frank-beaurepaire-1
2012,SWI,mens-200-metres-backstroke,Gold,USA,Tyler Clary,tyler-clary-1
2012,SWI,mens-200-metres-backstroke,Silver,JPN,Ryosuke Irie,ryosuke-irie-1
2012,SWI,mens-200-metres-backstroke,Bronze,USA,Ryan Lochte,ryan-lochte-1
2008,SWI,mens-200-metres-backstroke,Gold,USA,Ryan Lochte,ryan-lochte-1
2008,SWI,mens-200-metres-backstroke,Silver,USA,Aaron Peirsol,aaron-peirsol-1
2008,SWI,mens-200-metres-backstroke,Bronze,RUS,Arkady Vyachanin,arkady-vyachanin-1
2004,SWI,mens-200-metres-backstroke,Gold,USA,Aaron Peirsol,aaron-peirsol-1
2004,SWI,mens-200-metres-backstroke,Silver,AUT,Markus Rogan,markus-rogan-1
2004,SWI,mens-200-metres-backstroke,Bronze,ROU,RÄzvan Florea,razvan-florea-1
2000,SWI,mens-200-metres-backstroke,Gold,USA,Lenny Krayzelburg,lenny-krayzelburg-1
2000,SWI,mens-200-metres-backstroke,Silver,USA,Aaron Peirsol,aaron-peirsol-1
2000,SWI,mens-200-metres-backstroke,Bronze,AUS,Matt Welsh,matt-welsh-1
1996,SWI,mens-200-metres-backstroke,Gold,USA,Brad Bridgewater,brad-bridgewater-1
1996,SWI,mens-200-metres-backstroke,Silver,USA,Tripp Schwenk,tripp-schwenk-1
1996,SWI,mens-200-metres-backstroke,Bronze,ITA,Emanuele Merisi,emanuele-merisi-1
1992,SWI,mens-200-metres-backstroke,Gold,ESP,MartÃ­n LÃ³pez-Zubero,martin-lopez-zubero-1
1992,SWI,mens-200-metres-backstroke,Silver,EUN,Vladimir Selkov,vladimir-selkov-1
1992,SWI,mens-200-metres-backstroke,Bronze,ITA,Stefano Battistelli,stefano-battistelli-1
1988,SWI,mens-200-metres-backstroke,Gold,URS,Igor Polyansky,igor-polyansky-1
1988,SWI,mens-200-metres-backstroke,Silver,GDR,Frank Baltrusch,frank-baltrusch-1
1988,SWI,mens-200-metres-backstroke,Bronze,NZL,Paul Kingsman,paul-kingsman-1
1984,SWI,mens-200-metres-backstroke,Gold,USA,Rick Carey,rick-carey-1
1984,SWI,mens-200-metres-backstroke,Silver,FRA,FrÃ©dÃ©ric Delcourt,frederic-delcourt-1
1984,SWI,mens-200-metres-backstroke,Bronze,CAN,Cam Henning,cam-henning-1
1980,SWI,mens-200-metres-backstroke,Gold,HUN,SÃ¡ndor WladÃ¡r,sandor-wladar-1
1980,SWI,mens-200-metres-backstroke,Silver,HUN,ZoltÃ¡n VerrasztÃ³,zoltan-verraszto-1
1980,SWI,mens-200-metres-backstroke,Bronze,AUS,Mark Kerry,mark-kerry-1
1976,SWI,mens-200-metres-backstroke,Gold,USA,John Naber,john-naber-1
1976,SWI,mens-200-metres-backstroke,Silver,USA,Peter Rocca,peter-rocca-1
1976,SWI,mens-200-metres-backstroke,Bronze,USA,Dan Harrigan,dan-harrigan-1
1972,SWI,mens-200-metres-backstroke,Gold,GDR,Roland Matthes,roland-matthes-1
1972,SWI,mens-200-metres-backstroke,Silver,USA,Mike Stamm,mike-stamm-1
1972,SWI,mens-200-metres-backstroke,Bronze,USA,Mitch Ivey,mitch-ivey-1
1968,SWI,mens-200-metres-backstroke,Gold,GDR,Roland Matthes,roland-matthes-1
1968,SWI,mens-200-metres-backstroke,Silver,USA,Mitch Ivey,mitch-ivey-1
1968,SWI,mens-200-metres-backstroke,Bronze,USA,Jack Horsley,jack-horsley-1
1964,SWI,mens-200-metres-backstroke,Gold,USA,Jed Graef,jed-graef-1
1964,SWI,mens-200-metres-backstroke,Silver,USA,Gary Dilley,gary-dilley-1
1964,SWI,mens-200-metres-backstroke,Bronze,USA,Bob Bennett,bob-bennett-1
1900,SWI,mens-200-metres-backstroke,Gold,GER,Ernst Hoppenberg,ernst-hoppenberg-1
1900,SWI,mens-200-metres-backstroke,Silver,AUT,Karl Ruberl,karl-ruberl-1
1900,SWI,mens-200-metres-backstroke,Bronze,NED,Johannes Drost,johannes-drost-1
2012,SWI,mens-200-metres-breaststroke,Gold,HUN,DÃ¡niel Gyurta,daniel-gyurta-1
2012,SWI,mens-200-metres-breaststroke,Silver,GBR,Michael Jamieson,michael-jamieson-1
2012,SWI,mens-200-metres-breaststroke,Bronze,JPN,Ryo Tateishi,ryo-tateishi-1
2008,SWI,mens-200-metres-breaststroke,Gold,JPN,Kosuke Kitajima,kosuke-kitajima-1
2008,SWI,mens-200-metres-breaststroke,Silver,AUS,Brenton Rickard,brenton-rickard-1
2008,SWI,mens-200-metres-breaststroke,Bronze,FRA,Hugues Duboscq,hugues-duboscq-1
2004,SWI,mens-200-metres-breaststroke,Gold,JPN,Kosuke Kitajima,kosuke-kitajima-1
2004,SWI,mens-200-metres-breaststroke,Silver,HUN,DÃ¡niel Gyurta,daniel-gyurta-1
2004,SWI,mens-200-metres-breaststroke,Bronze,USA,Brendan Hansen,brendan-hansen-1
2000,SWI,mens-200-metres-breaststroke,Gold,ITA,Domenico Fioravanti,domenico-fioravanti-1
2000,SWI,mens-200-metres-breaststroke,Silver,RSA,Terence Parkin,terence-parkin-1
2000,SWI,mens-200-metres-breaststroke,Bronze,ITA,Davide Rummolo,davide-rummolo-1
1996,SWI,mens-200-metres-breaststroke,Gold,HUN,Norbert RÃ³zsa,norbert-rozsa-1
1996,SWI,mens-200-metres-breaststroke,Silver,HUN,KÃ¡roly GÃ¼ttler,karoly-guttler-1
1996,SWI,mens-200-metres-breaststroke,Bronze,RUS,Andrey Korneyev,andrey-korneyev-1
1992,SWI,mens-200-metres-breaststroke,Gold,USA,Mike Barrowman,mike-barrowman-1
1992,SWI,mens-200-metres-breaststroke,Silver,HUN,Norbert RÃ³zsa,norbert-rozsa-1
1992,SWI,mens-200-metres-breaststroke,Bronze,GBR,Nick Gillingham,nick-gillingham-1
1988,SWI,mens-200-metres-breaststroke,Gold,HUN,JÃ³zsef SzabÃ³,jozsef-szabo-1
1988,SWI,mens-200-metres-breaststroke,Silver,GBR,Nick Gillingham,nick-gillingham-1
1988,SWI,mens-200-metres-breaststroke,Bronze,ESP,Sergio LÃ³pez,sergio-lopez-1
1984,SWI,mens-200-metres-breaststroke,Gold,CAN,Victor Davis,victor-davis-1
1984,SWI,mens-200-metres-breaststroke,Silver,AUS,Glenn Beringen,glenn-beringen-1
1984,SWI,mens-200-metres-breaststroke,Bronze,SUI,Ãtienne Dagon,etienne-dagon-1
1980,SWI,mens-200-metres-breaststroke,Gold,URS,Robertas Å½ulpa,robertas-zulpa-1
1980,SWI,mens-200-metres-breaststroke,Silver,HUN,AlbÃ¡n Vermes,alban-vermes-1
1980,SWI,mens-200-metres-breaststroke,Bronze,URS,Arsens Miskarovs,arsens-miskarovs-1
1976,SWI,mens-200-metres-breaststroke,Gold,GBR,David Wilkie,david-wilkie-1
1976,SWI,mens-200-metres-breaststroke,Silver,USA,John Hencken,john-hencken-1
1976,SWI,mens-200-metres-breaststroke,Bronze,USA,Rick Colella,rick-colella-1
1972,SWI,mens-200-metres-breaststroke,Gold,USA,John Hencken,john-hencken-1
1972,SWI,mens-200-metres-breaststroke,Silver,GBR,David Wilkie,david-wilkie-1
1972,SWI,mens-200-metres-breaststroke,Bronze,JPN,Nobutaka Taguchi,nobutaka-taguchi-1
1968,SWI,mens-200-metres-breaststroke,Gold,MEX,Felipe MuÃ±oz,felipe-munoz-1
1968,SWI,mens-200-metres-breaststroke,Silver,URS,Vladimir Kosinsky,vladimir-kosinsky-1
1968,SWI,mens-200-metres-breaststroke,Bronze,USA,Brian Job,brian-job-1
1964,SWI,mens-200-metres-breaststroke,Gold,AUS,Ian O'Brien,ian-obrien-1
1964,SWI,mens-200-metres-breaststroke,Silver,URS,Heorhiy Prokopenko,heorhiy-prokopenko-1
1964,SWI,mens-200-metres-breaststroke,Bronze,USA,Chet Jastremski,chet-jastremski-1
1960,SWI,mens-200-metres-breaststroke,Gold,USA,Bill Mulliken,bill-mulliken-1
1960,SWI,mens-200-metres-breaststroke,Silver,JPN,Yoshihiko Osaki,yoshihiko-osaki-1
1960,SWI,mens-200-metres-breaststroke,Bronze,NED,Wieger Mensonides,wieger-mensonides-1
1956,SWI,mens-200-metres-breaststroke,Gold,JPN,Masaru Furukawa,masaru-furukawa-1
1956,SWI,mens-200-metres-breaststroke,Silver,JPN,Masahiro Yoshimura,masahiro-yoshimura-1
1956,SWI,mens-200-metres-breaststroke,Bronze,URS,Kharis Yunichev,kharis-yunichev-1
1952,SWI,mens-200-metres-breaststroke,Gold,AUS,John Davies,john-davies-1
1952,SWI,mens-200-metres-breaststroke,Silver,USA,Bowen Stassforth,bowen-stassforth-1
1952,SWI,mens-200-metres-breaststroke,Bronze,GER,Herbert Klein,herbert-klein-1
1948,SWI,mens-200-metres-breaststroke,Gold,USA,Joe Verdeur,joe-verdeur-1
1948,SWI,mens-200-metres-breaststroke,Silver,USA,Keith Carter,keith-carter-2
1948,SWI,mens-200-metres-breaststroke,Bronze,USA,Bob Sohl,bob-sohl-1
1936,SWI,mens-200-metres-breaststroke,Gold,JPN,Tetsuo Hamuro,tetsuo-hamuro-1
1936,SWI,mens-200-metres-breaststroke,Silver,GER,Erwin Sietas,erwin-sietas-1
1936,SWI,mens-200-metres-breaststroke,Bronze,JPN,Reizo Koike,reizo-koike-1
1932,SWI,mens-200-metres-breaststroke,Gold,JPN,Yoshiyuki Tsuruta,yoshiyuki-tsuruta-1
1932,SWI,mens-200-metres-breaststroke,Silver,JPN,Reizo Koike,reizo-koike-1
1932,SWI,mens-200-metres-breaststroke,Bronze,PHI,TeÃ³filo Yldefonso,teofilo-yldefonso-1
1928,SWI,mens-200-metres-breaststroke,Gold,JPN,Yoshiyuki Tsuruta,yoshiyuki-tsuruta-1
1928,SWI,mens-200-metres-breaststroke,Silver,GER,Erich Rademacher,erich-rademacher-1
1928,SWI,mens-200-metres-breaststroke,Bronze,PHI,TeÃ³filo Yldefonso,teofilo-yldefonso-1
1924,SWI,mens-200-metres-breaststroke,Gold,USA,Bob Skelton,bob-skelton-1
1924,SWI,mens-200-metres-breaststroke,Silver,BEL,Joseph De Combe,joseph-de-combe-1
1924,SWI,mens-200-metres-breaststroke,Bronze,USA,Bill Kirschbaum,bill-kirschbaum-1
1920,SWI,mens-200-metres-breaststroke,Gold,SWE,HÃ¥kan Malmrot,hakan-malmrot-1
1920,SWI,mens-200-metres-breaststroke,Silver,SWE,Thor Henning,thor-henning-1
1920,SWI,mens-200-metres-breaststroke,Bronze,FIN,Arvo Aaltonen,arvo-aaltonen-1
1912,SWI,mens-200-metres-breaststroke,Gold,GER,Walter Bathe,walter-bathe-1
1912,SWI,mens-200-metres-breaststroke,Silver,GER,Willy LÃ¼tzow,willy-lutzow-1
1912,SWI,mens-200-metres-breaststroke,Bronze,GER,Paul Malisch,paul-malisch-1
1908,SWI,mens-200-metres-breaststroke,Gold,GBR,Fred Holman,fred-holman-1
1908,SWI,mens-200-metres-breaststroke,Silver,GBR,William Robinson,william-robinson-1
1908,SWI,mens-200-metres-breaststroke,Bronze,SWE,Pontus Hanson,pontus-hanson-1
2012,SWI,mens-200-metres-butterfly,Gold,RSA,Chad le Clos,chad-le-clos-1
2012,SWI,mens-200-metres-butterfly,Silver,USA,Michael Phelps,michael-phelps-1
2012,SWI,mens-200-metres-butterfly,Bronze,JPN,Takeshi Matsuda,takeshi-matsuda-1
2008,SWI,mens-200-metres-butterfly,Gold,USA,Michael Phelps,michael-phelps-1
2008,SWI,mens-200-metres-butterfly,Silver,HUN,LÃ¡szlÃ³ Cseh, Jr.
2008,SWI,mens-200-metres-butterfly,Bronze,JPN,Takeshi Matsuda,takeshi-matsuda-1
2004,SWI,mens-200-metres-butterfly,Gold,USA,Michael Phelps,michael-phelps-1
2004,SWI,mens-200-metres-butterfly,Silver,JPN,Takashi Yamamoto,takashi-yamamoto-1
2004,SWI,mens-200-metres-butterfly,Bronze,GBR,Steve Parry,steve-parry-1
2000,SWI,mens-200-metres-butterfly,Gold,USA,Tom Malchow,tom-malchow-1
2000,SWI,mens-200-metres-butterfly,Silver,UKR,Denys Sylantiev,denys-sylantiev-1
2000,SWI,mens-200-metres-butterfly,Bronze,AUS,Justin Norris,justin-norris-1
1996,SWI,mens-200-metres-butterfly,Gold,RUS,Denis Pankratov,denis-pankratov-1
1996,SWI,mens-200-metres-butterfly,Silver,USA,Tom Malchow,tom-malchow-1
1996,SWI,mens-200-metres-butterfly,Bronze,AUS,Scott Goodman,scott-goodman-1
1992,SWI,mens-200-metres-butterfly,Gold,USA,Mel Stewart,mel-stewart-1
1992,SWI,mens-200-metres-butterfly,Silver,NZL,Danyon Loader,danyon-loader-1
1992,SWI,mens-200-metres-butterfly,Bronze,FRA,Franck Esposito,franck-esposito-1
1988,SWI,mens-200-metres-butterfly,Gold,FRG,Michael GroÃ,michael-gross-1
1988,SWI,mens-200-metres-butterfly,Silver,DEN,Benny Nielsen,benny-nielsen-2
1988,SWI,mens-200-metres-butterfly,Bronze,NZL,Anthony Mosse,anthony-mosse-1
1984,SWI,mens-200-metres-butterfly,Gold,AUS,Jon Sieben,jon-sieben-1
1984,SWI,mens-200-metres-butterfly,Silver,FRG,Michael GroÃ,michael-gross-1
1984,SWI,mens-200-metres-butterfly,Bronze,VEN,Rafael Vidal,rafael-vidal-1
1980,SWI,mens-200-metres-butterfly,Gold,URS,Serhiy Fesenko,serhiy-fesenko-1
1980,SWI,mens-200-metres-butterfly,Silver,GBR,Philip Hubble,philip-hubble-1
1980,SWI,mens-200-metres-butterfly,Bronze,GDR,Roger Pyttel,roger-pyttel-1
1976,SWI,mens-200-metres-butterfly,Gold,USA,Mike Bruner,mike-bruner-1
1976,SWI,mens-200-metres-butterfly,Silver,USA,Steve Gregg,steve-gregg-1
1976,SWI,mens-200-metres-butterfly,Bronze,USA,Bill Forrester,bill-forrester-1
1972,SWI,mens-200-metres-butterfly,Gold,USA,Mark Spitz,mark-spitz-1
1972,SWI,mens-200-metres-butterfly,Silver,USA,Gary Hall,gary-hall-1
1972,SWI,mens-200-metres-butterfly,Bronze,USA,Robin Backhaus,robin-backhaus-1
1968,SWI,mens-200-metres-butterfly,Gold,USA,Carl Robie,carl-robie-1
1968,SWI,mens-200-metres-butterfly,Silver,GBR,Martyn Woodroffe,martyn-woodroffe-1
1968,SWI,mens-200-metres-butterfly,Bronze,USA,John Ferris,john-ferris-1
1964,SWI,mens-200-metres-butterfly,Gold,AUS,Kevin Berry,kevin-berry-1
1964,SWI,mens-200-metres-butterfly,Silver,USA,Carl Robie,carl-robie-1
1964,SWI,mens-200-metres-butterfly,Bronze,USA,Fred Schmidt,fred-schmidt-1
1960,SWI,mens-200-metres-butterfly,Gold,USA,Mike Troy,mike-troy-1
1960,SWI,mens-200-metres-butterfly,Silver,AUS,Neville Hayes,neville-hayes-1
1960,SWI,mens-200-metres-butterfly,Bronze,USA,Dave Gillanders,dave-gillanders-1
1956,SWI,mens-200-metres-butterfly,Gold,USA,Bill Yorzyk,bill-yorzyk-1
1956,SWI,mens-200-metres-butterfly,Silver,JPN,Takashi Ishimoto,takashi-ishimoto-1
1956,SWI,mens-200-metres-butterfly,Bronze,HUN,GyÃ¶rgy Tumpek,gyorgy-tumpek-1
2012,SWI,mens-200-metres-freestyle,Gold,FRA,Yannick Agnel,yannick-agnel-1
2012,SWI,mens-200-metres-freestyle,Silver,KOR,Park Tae-Hwan,park-tae-hwan-1
2008,SWI,mens-200-metres-freestyle,Gold,USA,Michael Phelps,michael-phelps-1
2008,SWI,mens-200-metres-freestyle,Silver,KOR,Park Tae-Hwan,park-tae-hwan-1
2008,SWI,mens-200-metres-freestyle,Bronze,USA,Peter Vanderkaay,peter-vanderkaay-1
2004,SWI,mens-200-metres-freestyle,Gold,AUS,Ian Thorpe,ian-thorpe-1
2004,SWI,mens-200-metres-freestyle,Silver,NED,Pieter van den Hoogenband,pieter-van-den-hoogenband-1
2004,SWI,mens-200-metres-freestyle,Bronze,USA,Michael Phelps,michael-phelps-1
2000,SWI,mens-200-metres-freestyle,Gold,NED,Pieter van den Hoogenband,pieter-van-den-hoogenband-1
2000,SWI,mens-200-metres-freestyle,Silver,AUS,Ian Thorpe,ian-thorpe-1
2000,SWI,mens-200-metres-freestyle,Bronze,ITA,Massimiliano Rosolino,massimiliano-rosolino-1
1996,SWI,mens-200-metres-freestyle,Gold,NZL,Danyon Loader,danyon-loader-1
1996,SWI,mens-200-metres-freestyle,Silver,BRA,Gustavo Borges,gustavo-borges-1
1996,SWI,mens-200-metres-freestyle,Bronze,AUS,Daniel Kowalski,daniel-kowalski-1
1992,SWI,mens-200-metres-freestyle,Gold,EUN,Yevgeny Sadovy,yevgeny-sadovy-1
