Year,Sport,Discipline,Medal,Country,Author,AuthorId
1928,ART,mixed-literature-epic-works,Gold,HUN,Ferenc MezÅ,ferenc-mezo-1
1928,ART,mixed-literature-epic-works,Silver,GER,Ernst WeiÃ,ernst-weiss-1
1928,ART,mixed-literature-epic-works,Bronze,NED,Carel Scharten,carel-scharten-1
1948,ART,mixed-literature-lyric-works,Gold,FIN,Aale Tynni,aale-tynni-1
1948,ART,mixed-literature-lyric-works,Silver,RSA,Ernst Van Heerden,ernst-van-heerden-1
1948,ART,mixed-literature-lyric-works,Bronze,FRA,Gilbert Prouteau,gilbert-prouteau-1
1936,ART,mixed-literature-lyric-works,Gold,GER,Felix DhÃ¼nen,felix-dhunen-1
1936,ART,mixed-literature-lyric-works,Silver,ITA,Bruno Fattori,bruno-fattori-1
1936,ART,mixed-literature-lyric-works,Bronze,AUT,Hans Helmut Stoiber,hans-helmut-stoiber-1
1928,ART,mixed-literature-lyric-works,Gold,POL,Kazimierz WierzyÅski,kazimierz-wierzynski-1
1928,ART,mixed-literature-lyric-works,Silver,GER,Rudolf Binding,rudolf-binding-1
1928,ART,mixed-literature-lyric-works,Bronze,DEN,Johannes Weltzer,johannes-weltzer-1
1932,ART,mixed-literature,Gold,GER,Paul Bauer,paul-bauer-1
1932,ART,mixed-literature,Silver,DEN,Josef Petersen,josef-petersen-1
1924,ART,mixed-literature,Gold,FRA, GÃ©o-Charles,geo-charles-1
1924,ART,mixed-literature,Silver,DEN,Josef Petersen,josef-petersen-1
1924,ART,mixed-literature,Bronze,FRA,Charles Anthoine Gonnet,charles-anthoine-gonnet-1
1920,ART,mixed-literature,Gold,ITA,Raniero Nicolai,raniero-nicolai-1
1920,ART,mixed-literature,Silver,GBR,Theodore Andrea Cook,theodore-andrea-cook-1
1920,ART,mixed-literature,Bronze,BEL,Maurice Bladel,maurice-bladel-1
1912,ART,mixed-literature,Gold,GER,Pierre, Baron de Coubertin
